Attribute,Description,Valid Values,Required,DependsOn,DependsOn Component,Properties,Validation Rules,UsedIn,Parent,Source,Type,Ontology,multivalue,Module
ILO,Project name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Project
LC,Project name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Project
LG,Project name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Project
LLFS,Project name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Project
