Key,Key Description,columnType,Source,Parent
experimentalData,,STRING,,ManifestColumn
metadata,,STRING,,ManifestColumn
tool,,STRING,,ManifestColumn
analysis,,STRING,,ManifestColumn
computationalNotebook,,STRING,,ManifestColumn
 Not assigned,,STRING,,ManifestColumn
