Key,Key Description,columnType,Source,Parent
Acetylome Proteome,,STRING,,ManifestColumn
Glycoproteome,,STRING,,ManifestColumn
Lipidome,,STRING,,ManifestColumn
Metabolome,,STRING,,ManifestColumn
Not applicable,,STRING,,ManifestColumn
Not available,,STRING,,ManifestColumn
Not collected,,STRING,,ManifestColumn
Not specified,,STRING,,ManifestColumn
Phosphoproteome,,STRING,,ManifestColumn
Ubiquitylome,,STRING,,ManifestColumn
Unknown,,STRING,,ManifestColumn
