Key,Key Description,columnType,Source,Parent
 SY,,STRING_LIST,,
 SZ,,STRING_LIST,,
 TC,,STRING_LIST,,
 TD,,STRING_LIST,,
 TF,,STRING_LIST,,
 TG,,STRING_LIST,,
 TH,,STRING_LIST,,
 TJ,,STRING_LIST,,
 TK,,STRING_LIST,,
 TL,,STRING_LIST,,
 TM,,STRING_LIST,,
 TN,,STRING_LIST,,
 TO,,STRING_LIST,,
 TR,,STRING_LIST,,
 TT,,STRING_LIST,,
 TV,,STRING_LIST,,
 TW,,STRING_LIST,,
 TZ,,STRING_LIST,,
 UA,,STRING_LIST,,
 UG,,STRING_LIST,,
 UM,,STRING_LIST,,
 US,,STRING_LIST,,
 UY,,STRING_LIST,,
 UZ,,STRING_LIST,,
 VA,,STRING_LIST,,
 VC,,STRING_LIST,,
 VE,,STRING_LIST,,
 VG,,STRING_LIST,,
 VI,,STRING_LIST,,
 VN,,STRING_LIST,,
 VU,,STRING_LIST,,
 WF,,STRING_LIST,,
 WS,,STRING_LIST,,
 YE,,STRING_LIST,,
 YT,,STRING_LIST,,
 ZA,,STRING_LIST,,
 ZM,,STRING_LIST,,
 ZW,,STRING_LIST,,
