Key,Key Description,Country ISO3,Long Name,Region,Source,Parent,Type
152,Chile,CHL,Republic of Chile,Latin America & Caribbean,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
156,China,CHN,People's Republic of China,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
162,Christmas Island,CXR,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
166,Cocos (Keeling) Islands,CCK,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
170,Colombia,COL,Republic of Colombia,Latin America & Caribbean,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
174,Comoros,COM,Union of the Comoros,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
180,"Congo, Dem. Rep.",ZAR,Democratic Republic of the Congo,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
178,"Congo, Rep.",COG,Republic of Congo,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
184,Cook Islands,COK,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
188,Costa Rica,CRI,Republic of Costa Rica,Latin America & Caribbean,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
384,Cote d'Ivoire,CIV,Republic of Côte d'Ivoire,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
191,Croatia,HRV,Republic of Croatia,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
192,Cuba,CUB,Republic of Cuba,Latin America & Caribbean,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
531,Curaçao,CUW,Curaçao,Latin America & Caribbean,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
196,Cyprus,CYP,Republic of Cyprus,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
203,Czech Republic,CZE,Czech Republic,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
200,Czechoslovakia,CSK,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
208,Denmark,DNK,Kingdom of Denmark,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
262,Djibouti,DJI,Republic of Djibouti,Middle East & North Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
212,Dominica,DMA,Commonwealth of Dominica,Latin America & Caribbean,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
214,Dominican Republic,DOM,Dominican Republic,Latin America & Caribbean,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
EAS,East Asia & Pacific,EAS,East Asia & Pacific,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
626,East Timor,TMP,Democratic Republic of Timor-Leste,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
218,Ecuador,ECU,Republic of Ecuador,Latin America & Caribbean,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
818,"Egypt, Arab Rep.",EGY,Arab Republic of Egypt,Middle East & North Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
222,El Salvador,SLV,Republic of El Salvador,Latin America & Caribbean,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
226,Equatorial Guinea,GNQ,Republic of Equatorial Guinea,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
232,Eritrea,ERI,State of Eritrea,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
233,Estonia,EST,Republic of Estonia,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
748,Eswatini,SWZ,Kingdom of Eswatini,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
231,Ethiopia(excludes Eritrea),ETH,Federal Democratic Republic of Ethiopia,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
230,Ethiopia(includes Eritrea),ETF,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
ECS,Europe & Central Asia,ECS,Europe & Central Asia,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
234,Faeroe Islands,FRO,Faroe Islands,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
238,Falkland Island,FLK,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
242,Fiji,FJI,Republic of Fiji,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
246,Finland,FIN,Republic of Finland,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
736,Fm Sudan,SDN,Republic of the Sudan,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
260,Fr. So. Ant. Tr,ATF,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
250,France,FRA,French Republic,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
838,Free Zones,FRE,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
254,French Guiana,GUF,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
258,French Polynesia,PYF,French Polynesia,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
266,Gabon,GAB,Gabonese Republic,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
270,"Gambia, The",GMB,Republic of The Gambia,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
268,Georgia,GEO,Georgia,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
278,German Democratic Republic,DDR,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
276,Germany,DEU,Federal Republic of Germany,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
288,Ghana,GHA,Republic of Ghana,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
292,Gibraltar,GIB,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
300,Greece,GRC,Hellenic Republic,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
304,Greenland,GRL,Greenland,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
308,Grenada,GRD,Grenada,Latin America & Caribbean,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
312,Guadeloupe,GLP,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
316,Guam,GUM,Guam,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
320,Guatemala,GTM,Republic of Guatemala,Latin America & Caribbean,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
324,Guinea,GIN,Republic of Guinea,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
624,Guinea-Bissau,GNB,Republic of Guinea-Bissau,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
328,Guyana,GUY,Co-operative Republic of Guyana,Latin America & Caribbean,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
332,Haiti,HTI,Republic of Haiti,Latin America & Caribbean,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
334,Heard Island and McDonald Isla,HMD,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
336,Holy See,VAT,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
340,Honduras,HND,Republic of Honduras,Latin America & Caribbean,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
344,"Hong Kong, China",HKG,Hong Kong Special Administrative Region of the People's Republic of China,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
348,Hungary,HUN,Hungary,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
352,Iceland,ISL,Republic of Iceland,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
356,India,IND,Republic of India,South Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
360,Indonesia,IDN,Republic of Indonesia,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
364,"Iran, Islamic Rep.",IRN,Islamic Republic of Iran,Middle East & North Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
368,Iraq,IRQ,Republic of Iraq,Middle East & North Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
372,Ireland,IRL,Ireland,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
376,Israel,ISR,State of Israel,Middle East & North Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
380,Italy,ITA,Italian Republic,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
388,Jamaica,JAM,Jamaica,Latin America & Caribbean,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
392,Japan,JPN,Japan,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
400,Jordan,JOR,Hashemite Kingdom of Jordan,Middle East & North Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
398,Kazakhstan,KAZ,Republic of Kazakhstan,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
404,Kenya,KEN,Republic of Kenya,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
296,Kiribati,KIR,Republic of Kiribati,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
408,"Korea, Dem. Rep.",PRK,Democratic People's Republic of Korea,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
410,"Korea, Rep.",KOR,Republic of Korea,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
414,Kuwait,KWT,State of Kuwait,Middle East & North Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
417,Kyrgyz Republic,KGZ,Kyrgyz Republic,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
418,Lao PDR,LAO,Lao People's Democratic Republic,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
LCN,Latin America & Caribbean,LCN,Latin America & Caribbean,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
428,Latvia,LVA,Republic of Latvia,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
422,Lebanon,LBN,Lebanese Republic,Middle East & North Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
426,Lesotho,LSO,Kingdom of Lesotho,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
430,Liberia,LBR,Republic of Liberia,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
434,Libya,LBY,Socialist People's Libyan Arab Jamahiriya,Middle East & North Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
440,Lithuania,LTU,Republic of Lithuania,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
442,Luxembourg,LUX,Grand Duchy of Luxembourg,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
446,Macao,MAC,Macao Special Administrative Region of the People's Republic of China,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
450,Madagascar,MDG,Republic of Madagascar,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
454,Malawi,MWI,Republic of Malawi,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
458,Malaysia,MYS,Malaysia,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
462,Maldives,MDV,Republic of Maldives,South Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
466,Mali,MLI,Republic of Mali,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
470,Malta,MLT,Republic of Malta,Middle East & North Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
584,Marshall Islands,MHL,Republic of the Marshall Islands,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
474,Martinique,MTQ,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
478,Mauritania,MRT,Islamic Republic of Mauritania,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
480,Mauritius,MUS,Republic of Mauritius,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
175,Mayotte,MYT,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
484,Mexico,MEX,United Mexican States,Latin America & Caribbean,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
583,"Micronesia, Fed. Sts.",FSM,Federated States of Micronesia,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
MEA,Middle East & North Africa,MEA,Middle East & North Africa,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
498,Moldova,MDA,Republic of Moldova,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
492,Monaco,MCO,Principality of Monaco,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
496,Mongolia,MNG,Mongolia,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
499,Montenegro,MNT,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
500,Montserrat,MSR,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
504,Morocco,MAR,Kingdom of Morocco,Middle East & North Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
508,Mozambique,MOZ,Republic of Mozambique,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
104,Myanmar,MMR,Republic of the Union of Myanmar,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
516,Namibia,NAM,Republic of Namibia,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
520,Nauru,NRU,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
524,Nepal,NPL,Nepal,South Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
528,Netherlands,NLD,Kingdom of the Netherlands,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
530,Netherlands Antilles,ANT,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
536,Neutral Zone,NZE,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
540,New Caledonia,NCL,New Caledonia,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
554,New Zealand,NZL,New Zealand,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
