Key,Key Description,columnType,Source,Parent
 Toxostoma rufum,,STRING,,ManifestColumn
 Troglodytes aedon,,STRING,,ManifestColumn
 Turdus migratorius,,STRING,,ManifestColumn
 Tursiops truncatus,,STRING,,ManifestColumn
 Vicugna pacos,,STRING,,ManifestColumn
 Vireo griseus,,STRING,,ManifestColumn
 Vireo olivaceus,,STRING,,ManifestColumn
 Zalophus californianus,,STRING,,ManifestColumn
 Zenaida macroura,,STRING,,ManifestColumn
 Zonotrichia albicollis,,STRING,,ManifestColumn
 Unknown,,STRING,,ManifestColumn
