Key,Key Description,Type,Source,Parent
1,nan,NUMBER,nan,unspecified
2,nan,NUMBER,nan,unspecified
3,nan,NUMBER,nan,unspecified
4,nan,NUMBER,nan,unspecified
Other,nan,NUMBER,nan,unspecified
Unknown,nan,NUMBER,nan,unspecified
Notcollected,,NUMBER,,unspecified
Notapplicable,,NUMBER,,unspecified
