Key,Key Description,columnType,Source,Parent
 dalmatian wall lizard,,STRING,,ManifestColumn
 damaraland mole-rat,,STRING,,ManifestColumn
 daubenton's bat,,STRING,,ManifestColumn
 davis's round-eared bat,,STRING,,ManifestColumn
 delta smelt,,STRING,,ManifestColumn
 denticle herring,,STRING,,ManifestColumn
 diamondback terrapin,,STRING,,ManifestColumn
 double-crested cormorant,,STRING,,ManifestColumn
 downy woodpecker,,STRING,,ManifestColumn
 eastern bluebird,,STRING,,ManifestColumn
 eastern chipmunk,,STRING,,ManifestColumn
 eastern cottontail,,STRING,,ManifestColumn
 eastern gray squirrel,,STRING,,ManifestColumn
 eastern happy,,STRING,,ManifestColumn
 eastern mole,,STRING,,ManifestColumn
 eastern narrow-mouthed toad,,STRING,,ManifestColumn
 eastern phoebe,,STRING,,ManifestColumn
 eastern towhee,,STRING,,ManifestColumn
 eastern woodrat,,STRING,,ManifestColumn
 egyptian fruit bat,,STRING,,ManifestColumn
 egyptian goose,,STRING,,ManifestColumn
 electric eel,,STRING,,ManifestColumn
 electron subantarctic lanternfish,,STRING,,ManifestColumn
 epaulette shark,,STRING,,ManifestColumn
 etruscan shrew,,STRING,,ManifestColumn
 eurasian blackcap,,STRING,,ManifestColumn
 eurasian blue tit,,STRING,,ManifestColumn
 eurasian coot,,STRING,,ManifestColumn
 eurasian curlew,,STRING,,ManifestColumn
 eurasian minnow,,STRING,,ManifestColumn
 eurasian otter,,STRING,,ManifestColumn
 eurasian oystercatcher,,STRING,,ManifestColumn
 eurasian red squirrel,,STRING,,ManifestColumn
 eurasian sparrowhawk,,STRING,,ManifestColumn
 eurasian spoonbill,,STRING,,ManifestColumn
 eurasian teal,,STRING,,ManifestColumn
 european badger,,STRING,,ManifestColumn
 european conger,,STRING,,ManifestColumn
 european eel,,STRING,,ManifestColumn
 european fire-bellied toad,,STRING,,ManifestColumn
 european flounder,,STRING,,ManifestColumn
 european golden plover,,STRING,,ManifestColumn
 european hedgehog,,STRING,,ManifestColumn
 european herring gull,,STRING,,ManifestColumn
 european lancelet,,STRING,,ManifestColumn
 european leaf-toed gecko,,STRING,,ManifestColumn
 european nightjar,,STRING,,ManifestColumn
 european pied flycatcher,,STRING,,ManifestColumn
 european pine marten,,STRING,,ManifestColumn
 european plaice,,STRING,,ManifestColumn
 european pond turtle,,STRING,,ManifestColumn
 european rabbit,,STRING,,ManifestColumn
 european river lamprey,,STRING,,ManifestColumn
 european robin,,STRING,,ManifestColumn
 european sea squirt,,STRING,,ManifestColumn
 european shag,,STRING,,ManifestColumn
 european smelt,,STRING,,ManifestColumn
 european snow vole,,STRING,,ManifestColumn
 european turtle dove,,STRING,,ManifestColumn
 european water vole,,STRING,,ManifestColumn
 false killer whale,,STRING,,ManifestColumn
 field sparrow,,STRING,,ManifestColumn
 fin whale,,STRING,,ManifestColumn
 fivebeard rockling,,STRING,,ManifestColumn
 flier cichlid,,STRING,,ManifestColumn
 florida worm lizard,,STRING,,ManifestColumn
 fox squirrel,,STRING,,ManifestColumn
 french guiana freshwater stingray,,STRING,,ManifestColumn
 freshwater garfish,,STRING,,ManifestColumn
 gaboon caecilian,,STRING,,ManifestColumn
 gadwall,,STRING,,ManifestColumn
 galili blind mole-rat,,STRING,,ManifestColumn
 garden warbler,,STRING,,ManifestColumn
 gelatinous eelpout,,STRING,,ManifestColumn
 geoffroy's bat,,STRING,,ManifestColumn
 giant-fin mudskipper,,STRING,,ManifestColumn
 gilthead seabream,,STRING,,ManifestColumn
 glaucous-winged gull,,STRING,,ManifestColumn
 golden eagle,,STRING,,ManifestColumn
 golden hamster,,STRING,,ManifestColumn
 golden spiny mouse,,STRING,,ManifestColumn
 goode's thornscrub tortoise,,STRING,,ManifestColumn
 gray catbird,,STRING,,ManifestColumn
 gray short-tailed opossum,,STRING,,ManifestColumn
 gray whale,,STRING,,ManifestColumn
 gray wolf,,STRING,,ManifestColumn
 great black-backed gull,,STRING,,ManifestColumn
 great bustard,,STRING,,ManifestColumn
 great cormorant,,STRING,,ManifestColumn
 great evening bat,,STRING,,ManifestColumn
 great fruit-eating bat,,STRING,,ManifestColumn
 great horned owl,,STRING,,ManifestColumn
 great potoo,,STRING,,ManifestColumn
 great white shark,,STRING,,ManifestColumn
 greater argentine,,STRING,,ManifestColumn
 greater horseshoe bat,,STRING,,ManifestColumn
 greater mouse-eared bat,,STRING,,ManifestColumn
 greater pipefish,,STRING,,ManifestColumn
 greater scaup,,STRING,,ManifestColumn
 greater white-fronted goose,,STRING,,ManifestColumn
 green sea turtle,,STRING,,ManifestColumn
 green-winged teal,,STRING,,ManifestColumn
 grey crowned crane,,STRING,,ManifestColumn
 grey gurnard,,STRING,,ManifestColumn
 grey seal,,STRING,,ManifestColumn
 greylag goose,,STRING,,ManifestColumn
 groundhog,,STRING,,ManifestColumn
 gudgeon,,STRING,,ManifestColumn
 guinea pig,,STRING,,ManifestColumn
 gyrfalcon,,STRING,,ManifestColumn
 hairy woodpecker,,STRING,,ManifestColumn
 hairy-legged myotis,,STRING,,ManifestColumn
 hairy-nosed bat,,STRING,,ManifestColumn
 harbour porpoise,,STRING,,ManifestColumn
 harpy eagle,,STRING,,ManifestColumn
 harvest mouse,,STRING,,ManifestColumn
 hawaiian crow,,STRING,,ManifestColumn
 hawksbill sea turtle,,STRING,,ManifestColumn
 hazel dormouse,,STRING,,ManifestColumn
 heller's broad-nosed bat,,STRING,,ManifestColumn
 highfin lizardfish,,STRING,,ManifestColumn
 hispid cotton rat,,STRING,,ManifestColumn
 honeycomb rockfish,,STRING,,ManifestColumn
 hooded warbler,,STRING,,ManifestColumn
 horned lark,,STRING,,ManifestColumn
 horse,,STRING,,ManifestColumn
 hourglass treefrog,,STRING,,ManifestColumn
 house finch,,STRING,,ManifestColumn
 house mouse,,STRING,,ManifestColumn
 house sparrow,,STRING,,ManifestColumn
 house wren,,STRING,,ManifestColumn
 human,,STRING,,ManifestColumn
 humboldt penguin,,STRING,,ManifestColumn
 ibiza wall lizard,,STRING,,ManifestColumn
 indian glassy fish,,STRING,,ManifestColumn
 indigo bunting,,STRING,,ManifestColumn
 indo-pacific tarpon,,STRING,,ManifestColumn
