template_name,generation_test
BiospecimenHuman,True
BiospecimenNonHuman,True
GenotypingHuman,True
IndividualHuman,True
IndividualNonHuman,True
Metabolomics,True
Metagenomics,True
Microbiome,True
PhenotypeHuman,True
Proteomics,True
RNAseq,True
WholeGenomeSequencing,True
BsSeq,True
ScRNAseq,True
