template_name,generation_test
Metabolomics,True
Proteomics,True
Biospecimenhuman,True
BiospecimennonHuman,True
ComputationalTools,True
IndividualHuman,True
IndividualnonHuman,True
Microbiome,True
RNAseq,True
WholeGenomeSequencing,True
BsSeq,True
FileAnnotationTemplate,True
GenotypingAssay,True
ScRNAseq,True
