Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,Module,Ontology,UsedIn,columnType
Days,,,,,False,MeasurementUnit,,,,Unit,,,NUMERIC
g/dl,,,,,False,ValidValue,,,,Unit,,,NUMERIC
Hours,,,,,False,MeasurementUnit,,,,Unit,,,NUMERIC
Months,,,,,False,ValidValue,,,,Unit,,,NUMERIC
