Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,Module,Ontology,UsedIn,columnType
ILO,Integrative Longevity Omics,,,,False,ValidValue,,,,Project,,,
LC,Longevity Consortium,,,,False,ValidValue,,,,Project,,,
LG,Longevity Genomics,,,,False,ValidValue,,,,Project,,,
LLFS,Long Life Family Study,,,,False,ValidValue,,,,Project,,,
